text	category
എനിക്ക് അപമാനം തോന്നിയില്ല	sadness
കരുതലും ഉണർവുമുള്ള ഒരാളുടെ ചുറ്റുപാടിൽ നിന്ന് എനിക്ക് വളരെ നിരാശാജനകമായ അവസ്ഥയിൽ നിന്ന് വളരെ നിരാശാജനകമായ പ്രതീക്ഷയിലേക്ക് പോകാൻ കഴിയും	sadness
ഞാൻ പോസ്റ്റുചെയ്യാൻ ഒരു മിനിറ്റ് എടുക്കുന്നു, എനിക്ക് അത്യാഗ്രഹം തോന്നുന്നു	anger
അടുപ്പിനെക്കുറിച്ച് എനിക്ക് എപ്പോഴെങ്കിലും ഗൃഹാതുരത്വം തോന്നുന്നു, അത് ഇപ്പോഴും വസ്തുവിലാണെന്ന് എനിക്കറിയാം	love
ഈയിടെയായി എനിക്ക് അൽപ്പം ഭാരം തോന്നി, അത് എന്തുകൊണ്ടാണെന്ന് ഉറപ്പില്ല	sadness
ഞാൻ എടുക്കുകയോ മില്ലിഗ്രാം അല്ലെങ്കിൽ ശുപാർശ ചെയ്ത തുകയുടെ അളവ് എടുക്കുകയോ ചെയ്തു, ഞാൻ വളരെ വേഗത്തിൽ ഉറങ്ങിപ്പോയി, പക്ഷേ എനിക്ക് വളരെ തമാശയായി തോന്നുന്നു	surprise
എനിക്ക് ഒരു കൗമാരക്കാരനെപ്പോലെ ജീവിതത്തെക്കുറിച്ച് ആശയക്കുഴപ്പം തോന്നുന്നു അല്ലെങ്കിൽ ഒരു വയസ്സുകാരനെപ്പോലെ ക്ഷീണം തോന്നുന്നു	fear
ഞാൻ വർഷങ്ങളായി പെട്രോണയ്‌ക്കൊപ്പമാണ്, പെട്രോണാസ് മികച്ച പ്രകടനം കാഴ്ചവെക്കുകയും വലിയ ലാഭം നേടുകയും ചെയ്തുവെന്ന് എനിക്ക് തോന്നുന്നു	happy
എനിക്കും റൊമാന്റിക് തോന്നുന്നു	love
ഞാൻ കാണുന്ന കഷ്ടപ്പാടുകൾക്ക് എന്തെങ്കിലും അർത്ഥമാക്കണമെന്ന് എനിക്ക് തോന്നുന്നു	sadness
എനിക്ക് ദാഹമുണ്ട്	sadness
പൊതുവായ കാര്യത്തോട് എനിക്ക് വളരെയധികം സഹതാപമുണ്ട്, പക്ഷേ ഒരു പ്രോട്ടോ എഴുത്തുകാരൻ എന്ന നിലയിൽ ജീവിതത്തിന്റെ കോണുകളിൽ എഴുതാൻ സമയം കണ്ടെത്താൻ ശ്രമിക്കുന്നു, കൂടാതെ ഒരു പ്രസിദ്ധീകരണ കരാറിന്റെ കാര്യമെടുക്കട്ടെ, ഒരു ഏജന്റിന്റെ അടയാളവുമില്ലാതെ ഇത് അൽപ്പം വിലപ്പെട്ടതായി തോന്നുന്നു	happy
ഉത്കണ്ഠ ഓരോ ഭാഗത്തും ഉണ്ടെന്ന് എനിക്ക് ഉറപ്പ് തോന്നുന്നില്ല	happy
എനിക്ക് ശരിക്കും നാണക്കേട് തോന്നിയില്ല	sadness
എനിക്ക് മിക്കപ്പോഴും ദയനീയമായി തോന്നുന്നു	sadness
കുട്ടിക്കാലത്ത് എനിക്കുണ്ടായിരുന്ന പാവകളെക്കുറിച്ച് എനിക്ക് വികാരം തോന്നിത്തുടങ്ങി, അങ്ങനെ അറുപതുകളിൽ നിന്നുള്ള വിന്റേജ് ബാർബി പാവകളുടെ ശേഖരം ആരംഭിച്ചു	sadness
ഞാൻ ചെയ്യുന്ന ഓരോ യൂണിറ്റ് ജോലിയുടെയും മൂല്യത്തെക്കുറിച്ച് എനിക്ക് ഇപ്പോൾ വിട്ടുവീഴ്ചയും സംശയവും തോന്നുന്നു	fear
ആരും ഒന്നും ചെയ്യാതെയും ഒന്നും പറയാതെയും എനിക്ക് ദേഷ്യവും തിരസ്‌കാരവും തോന്നുന്നു	anger
അവൾ ആഹ്ലാദിക്കുകയും ആഹ്ലാദിക്കുകയും ചെയ്തു എന്ന തോന്നൽ എനിക്കുണ്ട്	happy
നിങ്ങളുടെ പിന്തുണയും പ്രോത്സാഹനവും കൊണ്ട് എനിക്ക് ചായ് ലൈഫ്‌ലൈനെ സഹായിക്കാൻ കഴിഞ്ഞു എന്നത് ഒരു വലിയ വികാരമാണ്, നിങ്ങൾക്ക് എന്നെ സഹായിക്കാൻ കഴിഞ്ഞതിൽ എനിക്ക് സന്തോഷമുണ്ട്	happy
ഞാൻ സാധാരണയായി രാവിലെ ഭക്ഷണം കഴിക്കാത്തതിനാൽ എനിക്ക് ഇതിനകം തന്നെ മടുത്തതായി തോന്നുന്നു	anger
ഞാൻ ഇപ്പോഴും എന്നെ സ്നേഹിക്കുന്നു, അദ്ദേഹത്തിന് ഏറ്റവും മികച്ചത് ആശംസിക്കുന്നു, ബിഎം നമ്മുടെ ജീവിതത്തിൽ ചെലുത്തുന്ന സ്വാധീനം എനിക്ക് ഇനി സഹിക്കാൻ കഴിയില്ല, അത് എന്നെ ഒരു കടുത്ത കോപാകുലനായ വ്യക്തിയാക്കി മാറ്റി, അയാൾക്ക് ചുറ്റുമുള്ള ആളുകളോട് പ്രത്യേകിച്ച് ദയ കാണിക്കുന്നില്ല. അവൻ സമ്മർദ്ദം അനുഭവിക്കുന്നു	sadness
മറ്റൊരാളുടെ അടുക്കളയിൽ ഞാൻ മറ്റൊരാളുടെ ചിത്രത്തിൽ വരയ്ക്കുന്നത് പോലെ എനിക്ക് വളരെ തടസ്സം തോന്നുന്നു	sadness
ഞാൻ തളർന്നുപോയി, തോൽവി അനുഭവപ്പെടുന്നു	sadness
ചത്ത കോഴിയോ സങ്കടപ്പെടുന്ന കുട്ടിയോ എനിക്ക് കൂടുതൽ മികച്ചതായി തോന്നുന്നു	happy
നന്നായി ഘടിപ്പിച്ച പെൻസിൽ പാവാടയിൽ ഭംഗിയുള്ളതായി തോന്നുമ്പോൾ എനിക്ക് തലകറങ്ങുന്നു	happy
കഴിഞ്ഞ രണ്ട് ദിവസമായി ഞാൻ കേൾക്കുകയും വായിക്കുകയും ചെയ്യുന്നത് കുറച്ച് കമ്പനികളിൽ കൂടുതൽ മതിപ്പുളവാക്കുന്നതായി തോന്നുന്നു	surprise
